Athlete,Score,Date,Venue,Place
Selemon BAREGA,1201,12 MAY 2021,"Campo Sportivo Putti, Bergamo (ITA)",
Selemon BAREGA,1228,09 JUN 2022,"Stadio Olimpico, Roma (ITA)",
Selemon BAREGA,1231,31 AUG 2023,"Letzigrund, Zürich (SUI)",
Selemon BAREGA,1241,17 MAY 2024,"Drake Stadium, Los Angeles, CA (USA)",
Selemon BAREGA,,30 SEP 2019,"Khalifa International Stadium, Doha (QAT)",2.
Selemon BAREGA,,12 AUG 2017,"Olympic Stadium, London (GBR)",5.
Selemon BAREGA,,31 AUG 2018,"Boudewijnstadion, Bruxelles (BEL)",1.
Selemon BAREGA,,23 JUL 2016,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",1.
Selemon BAREGA,,14 JUL 2018,"Ratinan Stadion, Tampere (FIN)",4.
Selemon BAREGA,,31 AUG 2018,"Boudewijnstadion, Bruxelles (BEL)",1.
Selemon BAREGA,,27 APR 2024,"Suzhou Olympic Sports Centre, Suzhou (CHN)",1.
Selemon BAREGA,,18 JUN 2022,"Stade Charléty, Paris (FRA)",1.
Selemon BAREGA,,10 JUN 2018,"Olympiastadion, Stockholm (SWE)",1.
Selemon BAREGA,,02 JUL 2017,Tlemcen (ALG),1.
Selemon BAREGA,1225,27 APR 2024,"Suzhou Olympic Sports Centre, Suzhou (CHN)",1.
Selemon BAREGA,1241,17 MAY 2024,"Drake Stadium, Los Angeles, CA (USA)",1.
Selemon BAREGA,,24 JUL 2022,"Hayward Field, Eugene, OR (USA)",12.
Selemon BAREGA,,21 JUL 2022,"Hayward Field, Eugene, OR (USA)",11.
Selemon BAREGA,,30 SEP 2019,"Khalifa International Stadium, Doha (QAT)",2.
Selemon BAREGA,,27 SEP 2019,"Khalifa International Stadium, Doha (QAT)",9.
Selemon BAREGA,,12 AUG 2017,"Olympic Stadium, London (GBR)",5.
Selemon BAREGA,,09 AUG 2017,"Olympic Stadium, London (GBR)",1.
Selemon BAREGA,,14 JUL 2018,"Ratinan Stadion, Tampere (FIN)",4.
Selemon BAREGA,,02 JUL 2017,Tlemcen (ALG),1.
Selemon BAREGA,,23 JUL 2016,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",1.
Selemon BAREGA,,24 JUL 2022,"Hayward Field, Eugene, OR (USA)",12.
Selemon BAREGA,,21 JUL 2022,"Hayward Field, Eugene, OR (USA)",11.
Selemon BAREGA,,30 SEP 2019,"Khalifa International Stadium, Doha (QAT)",2.
Selemon BAREGA,,27 SEP 2019,"Khalifa International Stadium, Doha (QAT)",9.
Selemon BAREGA,,12 AUG 2017,"Olympic Stadium, London (GBR)",5.
Selemon BAREGA,,09 AUG 2017,"Olympic Stadium, London (GBR)",1.
Selemon BAREGA,,14 JUL 2018,"Ratinan Stadion, Tampere (FIN)",4.
Selemon BAREGA,,02 JUL 2017,Tlemcen (ALG),1.
Selemon BAREGA,,23 JUL 2016,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",1.
Selemon BAREGA,1273,31 AUG 2018,"Boudewijnstadion, Bruxelles (BEL)",
Selemon BAREGA,1241,17 MAY 2024,"Drake Stadium, Los Angeles, CA (USA)",
Selemon BAREGA,,,,
Selemon BAREGA,,,,
Selemon BAREGA,,,,
Selemon BAREGA,,,,
Selemon BAREGA,,,,
Selemon BAREGA,,,,
Selemon BAREGA,,,,
Selemon BAREGA,,,,
Selemon BAREGA,,,,
Selemon BAREGA,,30 SEP 2019,"Khalifa International Stadium, Doha (QAT)",2.
Selemon BAREGA,,12 AUG 2017,"Olympic Stadium, London (GBR)",5.
Selemon BAREGA,,31 AUG 2018,"Boudewijnstadion, Bruxelles (BEL)",1.
Selemon BAREGA,,23 JUL 2016,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",1.
Selemon BAREGA,,14 JUL 2018,"Ratinan Stadion, Tampere (FIN)",4.
Selemon BAREGA,,31 AUG 2018,"Boudewijnstadion, Bruxelles (BEL)",1.
Selemon BAREGA,,27 APR 2024,"Suzhou Olympic Sports Centre, Suzhou (CHN)",1.
Selemon BAREGA,,18 JUN 2022,"Stade Charléty, Paris (FRA)",1.
Selemon BAREGA,,10 JUN 2018,"Olympiastadion, Stockholm (SWE)",1.
Selemon BAREGA,,02 JUL 2017,Tlemcen (ALG),1.
Selemon BAREGA,,,,
Selemon BAREGA,,,,
Grant FISHER,1258,02 SEP 2022,"Boudewijnstadion, Bruxelles (BEL)",
Grant FISHER,1294,16 FEB 2024,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",
Grant FISHER,1294,16 FEB 2024,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",
Grant FISHER,1294,16 FEB 2024,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",
Grant FISHER,1102,10 JUN 2016,"Eugene, OR (USA)",
Grant FISHER,1075,21 APR 2017,"Palo Alto, CA (USA)",
Grant FISHER,1095,24 JUN 2018,"Drake Stadium, Des Moines, IA (USA)",
Grant FISHER,1105,09 JUL 2019,"Azusa, CA (USA)",
Grant FISHER,1167,30 JUN 2020,"Jesuit High School Track, Portland, OR (USA)",
Grant FISHER,1200,06 MAR 2021,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",
Grant FISHER,1258,02 SEP 2022,"Boudewijnstadion, Bruxelles (BEL)",
Grant FISHER,1230,31 AUG 2023,"Letzigrund, Zürich (SUI)",
Grant FISHER,1294,16 FEB 2024,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",
Grant FISHER,1287,12 FEB 2022,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",
Grant FISHER,1294,16 FEB 2024,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",
Grant FISHER,,24 JUL 2022,"Hayward Field, Eugene, OR (USA)",6.
Grant FISHER,,26 JUN 2022,"Hayward Field, Eugene, OR (USA)",1.
Grant FISHER,,09 JUN 2017,"Eugene, OR (USA)",1.
Grant FISHER,1234,17 MAY 2024,"Drake Stadium, Los Angeles, CA (USA)",5.
Grant FISHER,1294,16 FEB 2024,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",1.
Grant FISHER,,06 AUG 2021,"National Stadium, Tokyo (JPN)",9.
Grant FISHER,,03 AUG 2021,"National Stadium, Tokyo (JPN)",8.
Grant FISHER,,24 JUL 2022,"Hayward Field, Eugene, OR (USA)",6.
Grant FISHER,,21 JUL 2022,"Hayward Field, Eugene, OR (USA)",10.
Grant FISHER,,06 AUG 2021,"National Stadium, Tokyo (JPN)",9.
Grant FISHER,,03 AUG 2021,"National Stadium, Tokyo (JPN)",8.
Grant FISHER,,24 JUL 2022,"Hayward Field, Eugene, OR (USA)",6.
Grant FISHER,,21 JUL 2022,"Hayward Field, Eugene, OR (USA)",10.
Grant FISHER,1258,02 SEP 2022,"Boudewijnstadion, Bruxelles (BEL)",
Grant FISHER,1294,16 FEB 2024,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",
Grant FISHER,1294,16 FEB 2024,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",
Grant FISHER,1294,16 FEB 2024,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",
Grant FISHER,,,,
Grant FISHER,,,,
Grant FISHER,,,,
Grant FISHER,,,,
Grant FISHER,,,,
Grant FISHER,,,,
Grant FISHER,,,,
Grant FISHER,,,,
Grant FISHER,,,,
Grant FISHER,,,,
Grant FISHER,,,,
Grant FISHER,,24 JUL 2022,"Hayward Field, Eugene, OR (USA)",6.
Grant FISHER,,26 JUN 2022,"Hayward Field, Eugene, OR (USA)",1.
Grant FISHER,,09 JUN 2017,"Eugene, OR (USA)",1.
Grant FISHER,,,,
Grant FISHER,,,,
Luis GRIJALVA,1244,30 MAY 2024,"Bislett Stadion, Oslo (NOR)",
Luis GRIJALVA,1151,24 JAN 2020,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",
Luis GRIJALVA,1244,30 MAY 2024,"Bislett Stadion, Oslo (NOR)",
Luis GRIJALVA,1034,30 MAR 2018,"Palo Alto, CA (USA)",
Luis GRIJALVA,1077,02 MAY 2019,"Palo Alto, CA (USA)",
Luis GRIJALVA,1149,04 DEC 2020,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",
Luis GRIJALVA,1173,06 AUG 2021,"National Stadium, Tokyo (JPN)",
Luis GRIJALVA,1199,02 SEP 2022,"Boudewijnstadion, Bruxelles (BEL)",
Luis GRIJALVA,1236,02 JUN 2023,"Stadio Luigi Ridolfi, Firenze (ITA)",
Luis GRIJALVA,1244,30 MAY 2024,"Bislett Stadion, Oslo (NOR)",
Luis GRIJALVA,866,01 DEC 2018,"Bozeman, MT (USA) (i)",
Luis GRIJALVA,1007,08 MAR 2019,"Birmingham, AL (USA) (i)",
Luis GRIJALVA,1151,24 JAN 2020,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",
