Athlete,Score,Date,Venue,Place
Hagos GEBRHIWET,,25 MAY 2013,"Icahn Stadium, New York, NY (USA)",1.
Hagos GEBRHIWET,,19 MAY 2012,"Shanghai Stadium, Shanghai (CHN)",1.
Hagos GEBRHIWET,,,,
Hagos GEBRHIWET,,,,
Berihu AREGAWI,1282,30 JUN 2023,"Stade Olympique de la Pontaise, Lausanne (SUI)",
Berihu AREGAWI,1239,17 MAY 2024,"Drake Stadium, Los Angeles, CA (USA)",
Berihu AREGAWI,1154,23 AUG 2018,Rovereto (ITA),
Berihu AREGAWI,1177,03 OCT 2020,"Nyayo National Stadium, Nairobi (KEN)",
Berihu AREGAWI,1246,28 MAY 2022,"Hayward Field, Eugene, OR (USA)",
Berihu AREGAWI,1282,30 JUN 2023,"Stade Olympique de la Pontaise, Lausanne (SUI)",
Berihu AREGAWI,1239,17 MAY 2024,"Drake Stadium, Los Angeles, CA (USA)",
Berihu AREGAWI,,27 AUG 2023,"Nemzeti Atlétikai Központ, Budapest (HUN)",8.
Berihu AREGAWI,,30 JUN 2023,"Stade Olympique de la Pontaise, Lausanne (SUI)",1.
Berihu AREGAWI,,28 MAY 2022,"Hayward Field, Eugene, OR (USA)",1.
Berihu AREGAWI,1239,17 MAY 2024,"Drake Stadium, Los Angeles, CA (USA)",2.
Berihu AREGAWI,,27 AUG 2023,"Nemzeti Atlétikai Központ, Budapest (HUN)",8.
Berihu AREGAWI,,24 AUG 2023,"Nemzeti Atlétikai Központ, Budapest (HUN)",4.
Berihu AREGAWI,,27 AUG 2023,"Nemzeti Atlétikai Központ, Budapest (HUN)",8.
Berihu AREGAWI,,24 AUG 2023,"Nemzeti Atlétikai Központ, Budapest (HUN)",4.
Berihu AREGAWI,1282,30 JUN 2023,"Stade Olympique de la Pontaise, Lausanne (SUI)",
Berihu AREGAWI,1239,17 MAY 2024,"Drake Stadium, Los Angeles, CA (USA)",
Berihu AREGAWI,,,,
Berihu AREGAWI,,,,
Berihu AREGAWI,,,,
Berihu AREGAWI,,,,
Berihu AREGAWI,,,,
Berihu AREGAWI,,27 AUG 2023,"Nemzeti Atlétikai Központ, Budapest (HUN)",8.
Berihu AREGAWI,,30 JUN 2023,"Stade Olympique de la Pontaise, Lausanne (SUI)",1.
Berihu AREGAWI,,28 MAY 2022,"Hayward Field, Eugene, OR (USA)",1.
Berihu AREGAWI,,,,
Telahun Haile BEKELE,1274,21 JUL 2023,"Stade Louis II, Monaco (MON)",
Telahun Haile BEKELE,1178,30 MAY 2024,"Bislett Stadion, Oslo (NOR)",
Telahun Haile BEKELE,1051,21 MAY 2017,Addis Abeba (ETH),
Telahun Haile BEKELE,1193,08 JUN 2018,Huelva (ESP),
Telahun Haile BEKELE,1235,06 JUN 2019,"Stadio Olimpico, Roma (ITA)",
Telahun Haile BEKELE,1143,10 JUN 2021,"Stadio Luigi Ridolfi, Firenze (ITA)",
Telahun Haile BEKELE,1220,09 JUN 2022,"Stadio Olimpico, Roma (ITA)",
Telahun Haile BEKELE,1274,21 JUL 2023,"Stade Louis II, Monaco (MON)",
Telahun Haile BEKELE,1178,30 MAY 2024,"Bislett Stadion, Oslo (NOR)",
Telahun Haile BEKELE,,30 SEP 2019,"Khalifa International Stadium, Doha (QAT)",4.
Telahun Haile BEKELE,,14 JUL 2018,"Ratinan Stadion, Tampere (FIN)",5.
Telahun Haile BEKELE,,16 JUN 2022,"Bislett Stadion, Oslo (NOR)",1.
Telahun Haile BEKELE,,06 JUN 2019,"Stadio Olimpico, Roma (ITA)",1.
Telahun Haile BEKELE,,11 MAY 2019,Addis Abeba (ETH),1.
Telahun Haile BEKELE,1178,30 MAY 2024,"Bislett Stadion, Oslo (NOR)",14.
Telahun Haile BEKELE,,21 JUL 2022,"Hayward Field, Eugene, OR (USA)",16.
Telahun Haile BEKELE,,30 SEP 2019,"Khalifa International Stadium, Doha (QAT)",4.
Telahun Haile BEKELE,,27 SEP 2019,"Khalifa International Stadium, Doha (QAT)",2.
Telahun Haile BEKELE,,14 JUL 2018,"Ratinan Stadion, Tampere (FIN)",5.
Telahun Haile BEKELE,,21 JUL 2022,"Hayward Field, Eugene, OR (USA)",16.
Telahun Haile BEKELE,,30 SEP 2019,"Khalifa International Stadium, Doha (QAT)",4.
Telahun Haile BEKELE,,27 SEP 2019,"Khalifa International Stadium, Doha (QAT)",2.
Telahun Haile BEKELE,,14 JUL 2018,"Ratinan Stadion, Tampere (FIN)",5.
Telahun Haile BEKELE,1274,21 JUL 2023,"Stade Louis II, Monaco (MON)",
Telahun Haile BEKELE,1178,30 MAY 2024,"Bislett Stadion, Oslo (NOR)",
Telahun Haile BEKELE,,,,
Telahun Haile BEKELE,,,,
Telahun Haile BEKELE,,,,
Telahun Haile BEKELE,,,,
Telahun Haile BEKELE,,,,
Telahun Haile BEKELE,,,,
Telahun Haile BEKELE,,,,
Telahun Haile BEKELE,,30 SEP 2019,"Khalifa International Stadium, Doha (QAT)",4.
Telahun Haile BEKELE,,14 JUL 2018,"Ratinan Stadion, Tampere (FIN)",5.
Telahun Haile BEKELE,,16 JUN 2022,"Bislett Stadion, Oslo (NOR)",1.
Telahun Haile BEKELE,,06 JUN 2019,"Stadio Olimpico, Roma (ITA)",1.
Telahun Haile BEKELE,,11 MAY 2019,Addis Abeba (ETH),1.
Telahun Haile BEKELE,,,,
Jakob INGEBRIGTSEN,1252,10 JUN 2021,"Stadio Luigi Ridolfi, Firenze (ITA)",
Jakob INGEBRIGTSEN,1137,08 JUN 2024,"Stadio Olimpico, Roma (ITA)",
Jakob INGEBRIGTSEN,875,07 AUG 2016,Brandbu (NOR),
Jakob INGEBRIGTSEN,1082,25 AUG 2017,Sandnes (NOR),
Jakob INGEBRIGTSEN,1148,11 AUG 2018,"Olympiastadion, Berlin (GER)",
Jakob INGEBRIGTSEN,1202,20 JUL 2019,"Olympic Stadium, London (GBR)",
Jakob INGEBRIGTSEN,1252,10 JUN 2021,"Stadio Luigi Ridolfi, Firenze (ITA)",
Jakob INGEBRIGTSEN,1202,06 MAY 2022,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",
Jakob INGEBRIGTSEN,1169,27 AUG 2023,"Nemzeti Atlétikai Központ, Budapest (HUN)",
Jakob INGEBRIGTSEN,1137,08 JUN 2024,"Stadio Olimpico, Roma (ITA)",
Jakob INGEBRIGTSEN,,27 AUG 2023,"Nemzeti Atlétikai Központ, Budapest (HUN)",1.
Jakob INGEBRIGTSEN,,24 JUL 2022,"Hayward Field, Eugene, OR (USA)",1.
Jakob INGEBRIGTSEN,,30 SEP 2019,"Khalifa International Stadium, Doha (QAT)",5.
Jakob INGEBRIGTSEN,,14 JUL 2018,"Ratinan Stadion, Tampere (FIN)",3.
Jakob INGEBRIGTSEN,,08 JUN 2024,"Stadio Olimpico, Roma (ITA)",1.
Jakob INGEBRIGTSEN,,16 AUG 2022,"Olympiastadion, München (GER)",1.
Jakob INGEBRIGTSEN,,11 AUG 2018,"Olympiastadion, Berlin (GER)",1.
Jakob INGEBRIGTSEN,,10 JUN 2021,"Stadio Luigi Ridolfi, Firenze (ITA)",1.
Jakob INGEBRIGTSEN,,22 JUL 2017,"Stadio Zecchini, Grosseto (ITA)",1.
Jakob INGEBRIGTSEN,,25 AUG 2017,Sandnes (NOR),1.
Jakob INGEBRIGTSEN,1137,08 JUN 2024,"Stadio Olimpico, Roma (ITA)",1.
Jakob INGEBRIGTSEN,,27 AUG 2023,"Nemzeti Atlétikai Központ, Budapest (HUN)",1.
Jakob INGEBRIGTSEN,,24 AUG 2023,"Nemzeti Atlétikai Központ, Budapest (HUN)",11.
Jakob INGEBRIGTSEN,,24 JUL 2022,"Hayward Field, Eugene, OR (USA)",1.
Jakob INGEBRIGTSEN,,21 JUL 2022,"Hayward Field, Eugene, OR (USA)",2.
Jakob INGEBRIGTSEN,,30 SEP 2019,"Khalifa International Stadium, Doha (QAT)",5.
Jakob INGEBRIGTSEN,,27 SEP 2019,"Khalifa International Stadium, Doha (QAT)",12.
Jakob INGEBRIGTSEN,,08 JUN 2024,"Stadio Olimpico, Roma (ITA)",1.
Jakob INGEBRIGTSEN,,16 AUG 2022,"Olympiastadion, München (GER)",1.
Jakob INGEBRIGTSEN,,11 AUG 2018,"Olympiastadion, Berlin (GER)",1.
Jakob INGEBRIGTSEN,,14 JUL 2018,"Ratinan Stadion, Tampere (FIN)",3.
Jakob INGEBRIGTSEN,,22 JUL 2017,"Stadio Zecchini, Grosseto (ITA)",1.
Jakob INGEBRIGTSEN,,27 AUG 2023,"Nemzeti Atlétikai Központ, Budapest (HUN)",1.
Jakob INGEBRIGTSEN,,24 AUG 2023,"Nemzeti Atlétikai Központ, Budapest (HUN)",11.
Jakob INGEBRIGTSEN,,24 JUL 2022,"Hayward Field, Eugene, OR (USA)",1.
Jakob INGEBRIGTSEN,,21 JUL 2022,"Hayward Field, Eugene, OR (USA)",2.
Jakob INGEBRIGTSEN,,30 SEP 2019,"Khalifa International Stadium, Doha (QAT)",5.
Jakob INGEBRIGTSEN,,27 SEP 2019,"Khalifa International Stadium, Doha (QAT)",12.
Jakob INGEBRIGTSEN,,08 JUN 2024,"Stadio Olimpico, Roma (ITA)",1.
Jakob INGEBRIGTSEN,,16 AUG 2022,"Olympiastadion, München (GER)",1.
Jakob INGEBRIGTSEN,,11 AUG 2018,"Olympiastadion, Berlin (GER)",1.
Jakob INGEBRIGTSEN,,14 JUL 2018,"Ratinan Stadion, Tampere (FIN)",3.
Jakob INGEBRIGTSEN,,22 JUL 2017,"Stadio Zecchini, Grosseto (ITA)",1.
Jakob INGEBRIGTSEN,1252,10 JUN 2021,"Stadio Luigi Ridolfi, Firenze (ITA)",
Jakob INGEBRIGTSEN,1137,08 JUN 2024,"Stadio Olimpico, Roma (ITA)",
Jakob INGEBRIGTSEN,,,,
Jakob INGEBRIGTSEN,,,,
Jakob INGEBRIGTSEN,,,,
Jakob INGEBRIGTSEN,,,,
Jakob INGEBRIGTSEN,,,,
Jakob INGEBRIGTSEN,,,,
Jakob INGEBRIGTSEN,,,,
Jakob INGEBRIGTSEN,,,,
Jakob INGEBRIGTSEN,,27 AUG 2023,"Nemzeti Atlétikai Központ, Budapest (HUN)",1.
Jakob INGEBRIGTSEN,,24 JUL 2022,"Hayward Field, Eugene, OR (USA)",1.
Jakob INGEBRIGTSEN,,30 SEP 2019,"Khalifa International Stadium, Doha (QAT)",5.
Jakob INGEBRIGTSEN,,14 JUL 2018,"Ratinan Stadion, Tampere (FIN)",3.
Jakob INGEBRIGTSEN,,08 JUN 2024,"Stadio Olimpico, Roma (ITA)",1.
Jakob INGEBRIGTSEN,,16 AUG 2022,"Olympiastadion, München (GER)",1.
Jakob INGEBRIGTSEN,,11 AUG 2018,"Olympiastadion, Berlin (GER)",1.
Jakob INGEBRIGTSEN,,10 JUN 2021,"Stadio Luigi Ridolfi, Firenze (ITA)",1.
Jakob INGEBRIGTSEN,,22 JUL 2017,"Stadio Zecchini, Grosseto (ITA)",1.
Jakob INGEBRIGTSEN,,25 AUG 2017,Sandnes (NOR),1.
Jakob INGEBRIGTSEN,,,,
Jacob KIPLIMO,1280,30 MAY 2024,"Bislett Stadion, Oslo (NOR)",
Jacob KIPLIMO,1280,30 MAY 2024,"Bislett Stadion, Oslo (NOR)",
Jacob KIPLIMO,1139,10 JUN 2016,Ponzano Veneto (ITA),
Jacob KIPLIMO,1160,27 MAY 2017,"Hayward Field, Eugene, OR (USA)",
Jacob KIPLIMO,1139,10 JUN 2018,"Olympiastadion, Stockholm (SWE)",
Jacob KIPLIMO,1252,08 SEP 2020,"Mestský Stadion, Ostrava (CZE)",
Jacob KIPLIMO,1226,29 JUN 2021,"Stadion Allmend, Luzern (SUI)",
Jacob KIPLIMO,1180,06 AUG 2022,"Alexander Stadium, Birmingham (GBR)",
Jacob KIPLIMO,1278,15 JUN 2023,"Bislett Stadion, Oslo (NOR)",
Jacob KIPLIMO,1280,30 MAY 2024,"Bislett Stadion, Oslo (NOR)",
Jacob KIPLIMO,,06 AUG 2021,"National Stadium, Tokyo (JPN)",5.
Jacob KIPLIMO,,14 JUL 2018,"Ratinan Stadion, Tampere (FIN)",6.
Jacob KIPLIMO,,06 AUG 2022,"Alexander Stadium, Birmingham (GBR)",1.
Jacob KIPLIMO,1236,17 MAY 2024,"Drake Stadium, Los Angeles, CA (USA)",4.
Jacob KIPLIMO,1280,30 MAY 2024,"Bislett Stadion, Oslo (NOR)",3.
Jacob KIPLIMO,,06 AUG 2021,"National Stadium, Tokyo (JPN)",5.
Jacob KIPLIMO,,03 AUG 2021,"National Stadium, Tokyo (JPN)",4.
Jacob KIPLIMO,,17 AUG 2016,"Estádio Olímpico, Rio de Janeiro (BRA)",11.
Jacob KIPLIMO,,09 AUG 2017,"Olympic Stadium, London (GBR)",9.
Jacob KIPLIMO,,06 AUG 2022,"Alexander Stadium, Birmingham (GBR)",1.
Jacob KIPLIMO,,14 JUL 2018,"Ratinan Stadion, Tampere (FIN)",6.
Jacob KIPLIMO,1280,30 MAY 2024,"Bislett Stadion, Oslo (NOR)",
Jacob KIPLIMO,1280,30 MAY 2024,"Bislett Stadion, Oslo (NOR)",
Jacob KIPLIMO,,,,
Jacob KIPLIMO,,,,
Jacob KIPLIMO,,,,
Jacob KIPLIMO,,,,
Jacob KIPLIMO,,,,
Jacob KIPLIMO,,,,
Jacob KIPLIMO,,,,
Jacob KIPLIMO,,,,
Jacob KIPLIMO,,06 AUG 2021,"National Stadium, Tokyo (JPN)",5.
Jacob KIPLIMO,,14 JUL 2018,"Ratinan Stadion, Tampere (FIN)",6.
Jacob KIPLIMO,,06 AUG 2022,"Alexander Stadium, Birmingham (GBR)",1.
Jacob KIPLIMO,,,,
Jacob KIPLIMO,,,,
Jacob KIPLIMO,,06 AUG 2021,"National Stadium, Tokyo (JPN)",5.
Jacob KIPLIMO,,03 AUG 2021,"National Stadium, Tokyo (JPN)",4.
Jacob KIPLIMO,,17 AUG 2016,"Estádio Olímpico, Rio de Janeiro (BRA)",11.
Jacob KIPLIMO,,09 AUG 2017,"Olympic Stadium, London (GBR)",9.
Jacob KIPLIMO,,06 AUG 2022,"Alexander Stadium, Birmingham (GBR)",1.
Jacob KIPLIMO,,14 JUL 2018,"Ratinan Stadion, Tampere (FIN)",6.
Selemon BAREGA,1273,31 AUG 2018,"Boudewijnstadion, Bruxelles (BEL)",
Selemon BAREGA,1241,17 MAY 2024,"Drake Stadium, Los Angeles, CA (USA)",
Selemon BAREGA,1133,23 JUL 2016,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",
Selemon BAREGA,1226,06 JUL 2017,"Stade Olympique de la Pontaise, Lausanne (SUI)",
Selemon BAREGA,1273,31 AUG 2018,"Boudewijnstadion, Bruxelles (BEL)",
Selemon BAREGA,1235,06 JUN 2019,"Stadio Olimpico, Roma (ITA)",
Selemon BAREGA,1250,08 SEP 2020,"Mestský Stadion, Ostrava (CZE)",
