Event,City,date,Discipline,Rank,Athlete
IFSC Climbing World Championships - Innsbruck (AUT) 2018,WCH Innsbruck,2018-09-16,speed,21,Tomoa Narasaki
IFSC Climbing World Championships - Innsbruck (AUT) 2018,WCH Innsbruck,2018-09-16,boulder,7,Tomoa Narasaki
IFSC Climbing Worldcup (B) - Munich (GER) 2018,MunichWC,2018-08-18,boulder,9,Tomoa Narasaki
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018",ChamonixWC,2018-07-13,speed,31,Tomoa Narasaki
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018",ChamonixWC,2018-07-13,lead,12,Tomoa Narasaki
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2018",VillarsWC,2018-07-07,speed,64,Tomoa Narasaki
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2018",VillarsWC,2018-07-07,lead,3,Tomoa Narasaki
IFSC Climbing Worldcup (B) - Vail (USA) 2018,VailWC,2018-06-09,boulder,3,Tomoa Narasaki
IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018,TokyoWC,2018-06-03,boulder,2,Tomoa Narasaki
"IFSC Climbing Worldcup (B,S) - Tai'an (CHN) 2018",TaianWC,2018-05-13,boulder,8,Tomoa Narasaki
"IFSC Climbing Worldcup (B,S) - Tai'an (CHN) 2018",TaianWC,2018-05-13,speed,42,Tomoa Narasaki
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",ChongqingWC,2018-05-06,boulder,11,Tomoa Narasaki
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",ChongqingWC,2018-05-06,speed,33,Tomoa Narasaki
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",MoscowWC,2018-04-22,boulder,1,Tomoa Narasaki
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",MoscowWC,2018-04-22,speed,54,Tomoa Narasaki
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2018,MeiringenWC,2018-04-14,boulder,2,Tomoa Narasaki
China Open - Guangzhou (CHN) 2017,China_Open_17,2017-11-19,lead,9,Tomoa Narasaki
China Open - Guangzhou (CHN) 2017,China_Open_17,2017-11-19,boulder,6,Tomoa Narasaki
China Open - Guangzhou (CHN) 2017,China_Open_17,2017-11-19,speed,16,Tomoa Narasaki
China Open Qualification - Guangzhou (CHN) 2017,China_Open_17,2017-11-17,lead,1,Tomoa Narasaki
China Open Qualification - Guangzhou (CHN) 2017,China_Open_17,2017-11-17,speed,9,Tomoa Narasaki
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,KranjWC,2017-11-12,lead,25,Tomoa Narasaki
"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2017",XiamenWC,2017-10-15,lead,2,Tomoa Narasaki
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",Wujiang,2017-10-08,speed,30,Tomoa Narasaki
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",Wujiang,2017-10-08,lead,2,Tomoa Narasaki
Asian Continental Championships - Tehran (IRI) 2017,ACH Tehran,2017-09-21,lead,26,Tomoa Narasaki
Asian Continental Championships - Tehran (IRI) 2017,ACH Tehran,2017-09-21,boulder,4,Tomoa Narasaki
Asian Continental Championships - Tehran (IRI) 2017,ACH Tehran,2017-09-21,speed,19,Tomoa Narasaki
IFSC Climbing Worldcup (B) - Munich (GER) 2017,MunichWC,2017-08-19,boulder,2,Tomoa Narasaki
The World Games 2017 - Wroclaw (POL) 2017,WG_2017,2017-07-23,boulder,5,Tomoa Narasaki
IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2017,MumbaiWC,2017-06-25,boulder,6,Tomoa Narasaki
IFSC Climbing Worldcup (B) - Vail (USA) 2017,VailWC,2017-06-10,boulder,9,Tomoa Narasaki
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",TokyoWC,2017-05-07,boulder,2,Tomoa Narasaki
"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",NanjingWC,2017-04-30,boulder,2,Tomoa Narasaki
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",ChongqingWC,2017-04-23,boulder,2,Tomoa Narasaki
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,MeiringenWC,2017-04-08,boulder,21,Tomoa Narasaki
IFSC Climbing World Championships - Paris (FRA) 2016,WCH Paris,2016-09-18,boulder,1,Tomoa Narasaki
IFSC Climbing Worldcup (B) - Munich (GER) 2016,MunichWC,2016-08-13,boulder,1,Tomoa Narasaki
Asian Continental Championship - Duyun (CHN) 2016,ACH Duyun,2016-08-06,boulder,2,Tomoa Narasaki
IFSC Climbing Worldcup (B) - Vail (USA) 2016,VailWC,2016-06-11,boulder,2,Tomoa Narasaki
IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2016,TyrolWC,2016-05-21,boulder,2,Tomoa Narasaki
IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016,NaviMumbaiWC,2016-05-15,boulder,2,Tomoa Narasaki
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",ChongqingWC,2016-05-01,boulder,1,Tomoa Narasaki
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,KazoWC,2016-04-24,boulder,15,Tomoa Narasaki
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2016,MeiringenWC,2016-04-16,boulder,18,Tomoa Narasaki
Asian Youth Championship - Putrajaya (MAS) 2015,Asian_Youth_Chp_15,2015-12-06,speed,3,Tomoa Narasaki
Asian Youth Championship - Putrajaya (MAS) 2015,Asian_Youth_Chp_15,2015-12-06,boulder,1,Tomoa Narasaki
Asian Continental Championship - Ningbo (CHN) 2015,ACH Ningbo,2015-11-24,boulder,6,Tomoa Narasaki
Asian Continental Championship - Ningbo (CHN) 2015,ACH Ningbo,2015-11-24,speed,28,Tomoa Narasaki
IFSC World Youth Championships - Arco (ITA) - 2015,WYCH Arco,2015-09-06,lead,8,Tomoa Narasaki
IFSC World Youth Championships - Arco (ITA) - 2015,WYCH Arco,2015-09-06,boulder,4,Tomoa Narasaki
IFSC Climbing Worldcup (B) - Munich (GER) 2015,Munich,2015-08-15,boulder,36,Tomoa Narasaki
"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",Haiyang,2015-06-27,boulder,16,Tomoa Narasaki
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2015",Chongqing,2015-06-21,boulder,15,Tomoa Narasaki
IFSC Climbing Worldcup (B) - Vail (USA) 2015,Vail,2015-06-06,boulder,31,Tomoa Narasaki
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,Toronto15,2015-05-31,boulder,35,Tomoa Narasaki
IFSC Climbing World Championship (B) - Munich (GER) 2014,Munich,2014-08-23,boulder,10,Tomoa Narasaki
"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014",Haiyang,2014-06-22,boulder,5,Tomoa Narasaki
IFSC Climbing Worldcup (B) - Vail (USA) 2014,Vail,2014-06-07,boulder,34,Tomoa Narasaki
IFSC Climbing Worldcup (B) - Toronto (CAN) 2014,Toronto,2014-06-01,boulder,21,Tomoa Narasaki
IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2014,Innsbruck,2014-05-17,boulder,53,Tomoa Narasaki
IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2014,Grindelwald,2014-05-11,boulder,19,Tomoa Narasaki
IFSC Climbing Worldcup (L) - Valence (FRA) 2013,Valence,2013-11-02,lead,24,Tomoa Narasaki
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2013",Mokpo,2013-10-12,lead,23,Tomoa Narasaki
IFSC Climbing Worldcup (L) - Imst (AUT) 2013,Imst,2013-08-10,lead,33,Tomoa Narasaki
IFSC Climbing Worldcup (L) - Inzai (JPN) 2012,Inzai,2012-10-28,lead,31,Tomoa Narasaki
IFSC World Youth Championship - Singapore (SIN) - 2012,YWCH Singapore,2012-09-01,lead,4,Tomoa Narasaki
Asian Youth Championship - Singapore (SGP) 2011,Asian_Youth_Chp,2011-07-30,lead,2,Tomoa Narasaki
IFSC World Cup Salt Lake City 2024,Salt Lake CIty,2024-05-06,boulder,18,Yoshiyuki Ogata
IFSC World Cup Wujiang 2024,Wujiang,2024-04-14,lead,19,Yoshiyuki Ogata
IFSC World Cup Keqiao 2024,Keqiao,2024-04-10,boulder,21,Yoshiyuki Ogata
NEOM IFSC Masters 2023,Neom Beach Games Mountain Village,2023-11-24,boulder,7,Yoshiyuki Ogata
IFSC Asian Qualifier Jakarta 2023,Jakarta,2023-11-12,boulder&lead,4,Yoshiyuki Ogata
IFSC World Cup Wujiang 2023,Wujiang,2023-09-24,lead,4,Yoshiyuki Ogata
IFSC World Cup Koper 2023,Koper,2023-09-09,lead,9,Yoshiyuki Ogata
IFSC World Championships Bern 2023,Bern,2023-08-12,boulder,7,Yoshiyuki Ogata
IFSC World Championships Bern 2023,Bern,2023-08-12,boulder&lead,17,Yoshiyuki Ogata
IFSC World Championships Bern 2023,Bern,2023-08-12,lead,27,Yoshiyuki Ogata
IFSC World Cup Briançon 2023,Briançon,2023-07-15,lead,4,Yoshiyuki Ogata
IFSC World Cup Chamonix 2023,Chamonix,2023-07-09,lead,14,Yoshiyuki Ogata
IFSC World Cup Villars 2023,Villars-sur-Ollon,2023-07-02,lead,17,Yoshiyuki Ogata
IFSC World Cup Innsbruck 2023,Innsbruck,2023-06-18,lead,18,Yoshiyuki Ogata
IFSC World Cup Innsbruck 2023,Innsbruck,2023-06-18,boulder,7,Yoshiyuki Ogata
IFSC World Cup Brixen 2023,Brixen,2023-06-11,boulder,3,Yoshiyuki Ogata
IFSC World Cup Prague 2023,Prague,2023-06-04,boulder,4,Yoshiyuki Ogata
IFSC World Cup Salt Lake City 2023,Salt Lake City,2023-05-22,boulder,16,Yoshiyuki Ogata
IFSC World Cup Seoul 2023,Seoul,2023-04-30,boulder,12,Yoshiyuki Ogata
IFSC World Cup Hachioji 2023,Hachioji,2023-04-23,boulder,13,Yoshiyuki Ogata
"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",Japan,2022-10-22,boulder&lead,2,Yoshiyuki Ogata
"IFSC Asia - Continental Championships (B, L, S, B&L) - Republic of Korea 2022",Seoul,2022-10-16,boulder&lead,6,Yoshiyuki Ogata
"IFSC Asia - Continental Championships (B, L, S, B&L) - Republic of Korea 2022",Seoul,2022-10-16,lead,2,Yoshiyuki Ogata
"IFSC Asia - Continental Championships (B, L, S, B&L) - Republic of Korea 2022",Seoul,2022-10-16,boulder,2,Yoshiyuki Ogata
"IFSC - Climbing World Cup (L,S) - Jakarta (INA) 2022",Jakarta,2022-09-26,lead,9,Yoshiyuki Ogata
"IFSC - Climbing World Cup (L,S) - Edinburgh (GBR) 2022",Edinburgh,2022-09-11,lead,8,Yoshiyuki Ogata
IFSC - Climbing World Cup (L) - Koper (SLO) 2022,Koper,2022-09-03,lead,7,Yoshiyuki Ogata
IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,Briançon,2022-07-23,lead,6,Yoshiyuki Ogata
"World Games (B,S,L) - Birmingham (USA) 2022",Birmingham,2022-07-17,boulder,3,Yoshiyuki Ogata
"World Games (B,S,L) - Birmingham (USA) 2022",Birmingham,2022-07-17,lead,7,Yoshiyuki Ogata
"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",Chamonix,2022-07-10,lead,33,Yoshiyuki Ogata
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",Villars-sur-Ollon,2022-07-02,lead,6,Yoshiyuki Ogata
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2022",Innsbruck,2022-06-26,lead,12,Yoshiyuki Ogata
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2022",Innsbruck,2022-06-26,boulder,3,Yoshiyuki Ogata
IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,Brixen,2022-06-12,boulder,5,Yoshiyuki Ogata
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",Salt Lake City,2022-05-30,boulder,1,Yoshiyuki Ogata
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",Salt Lake City,2022-05-23,boulder,2,Yoshiyuki Ogata
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",Seoul,2022-05-08,boulder,3,Yoshiyuki Ogata
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2022,Meiringen,2022-04-10,boulder,2,Yoshiyuki Ogata
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",Moscow,2021-09-21,lead,7,Yoshiyuki Ogata
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",Moscow,2021-09-21,boulder,8,Yoshiyuki Ogata
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",Innsbruck,2021-06-26,boulder,1,Yoshiyuki Ogata
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",Salt Lake City,2021-05-31,boulder,4,Yoshiyuki Ogata
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,Salt Lake City,2021-05-23,boulder,16,Yoshiyuki Ogata
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,Meiringen,2021-04-17,boulder,2,Yoshiyuki Ogata
Asian Championships - Bogor (INA) 2019,ACH Palembang,2019-11-10,combined,2,Yoshiyuki Ogata
Asian Championships - Bogor (INA) 2019,ACH Palembang,2019-11-10,lead,4,Yoshiyuki Ogata
Asian Championships - Bogor (INA) 2019,ACH Palembang,2019-11-10,boulder,4,Yoshiyuki Ogata
Asian Championships - Bogor (INA) 2019,ACH Palembang,2019-11-10,speed,19,Yoshiyuki Ogata
IFSC Climbing World Championships - Hachioji (JPN) 2019,WCH Hachioji,2019-08-21,boulder,14,Yoshiyuki Ogata
IFSC Climbing Worldcup (B) - Vail (USA) 2019,VailWC,2019-06-08,boulder,1,Yoshiyuki Ogata
IFSC Climbing Worldcup (B) - Munich (GER) 2019,MunichWC,2019-05-19,boulder,15,Yoshiyuki Ogata
"International Climbing Series - Outdoor Village Speed Stars - Akishima, Tokyo (JPN) 2019",Speed Stars 2019,2019-05-12,speed,5,Yoshiyuki Ogata
"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",WujiangWC,2019-05-05,boulder,9,Yoshiyuki Ogata
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",ChongqingWC,2019-04-28,boulder,29,Yoshiyuki Ogata
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",MoscowWC,2019-04-14,boulder,3,Yoshiyuki Ogata
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2019,MeiringenWC,2019-04-06,boulder,8,Yoshiyuki Ogata
International Climbing Series - China Open - Guangzhou (CHN) 2018,China_Open_18,2018-11-18,lead,3,Yoshiyuki Ogata
International Climbing Series - China Open - Guangzhou (CHN) 2018,China_Open_18,2018-11-18,speed,7,Yoshiyuki Ogata
International Climbing Series - China Open Semifinals & Finals - Guanzhou (CHN) 2018,China_Open_Q,2018-11-17,boulder,1,Yoshiyuki Ogata
International Climbing Series - China Open Semifinals & Finals - Guanzhou (CHN) 2018,China_Open_Q,2018-11-17,lead,10,Yoshiyuki Ogata
Asian Championships - Kurayoshi (JPN) 2018,ACH Kurayoshi,2018-11-11,speed,47,Yoshiyuki Ogata
Asian Championships - Kurayoshi (JPN) 2018,ACH Kurayoshi,2018-11-11,lead,5,Yoshiyuki Ogata
Asian Championships - Kurayoshi (JPN) 2018,ACH Kurayoshi,2018-11-11,boulder,10,Yoshiyuki Ogata
Asian Championships Combined - Kurayoshi (JPN) 2018,ACH Kurayoshi comb,2018-11-11,combined,9,Yoshiyuki Ogata
Asian Championships - Kurayoshi (JPN) 2018,ACH Kurayoshi,2018-11-11,combined,9,Yoshiyuki Ogata
"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018",XiamenWC,2018-10-28,speed,22,Yoshiyuki Ogata
"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018",XiamenWC,2018-10-28,lead,13,Yoshiyuki Ogata
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018",Wujiang,2018-10-21,lead,24,Yoshiyuki Ogata
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018",Wujiang,2018-10-21,speed,30,Yoshiyuki Ogata
IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,KranjWC,2018-09-30,lead,14,Yoshiyuki Ogata
IFSC Climbing World Championships - Innsbruck (AUT) 2018,WCH Innsbruck,2018-09-16,combined,29,Yoshiyuki Ogata
IFSC Climbing World Championships - Innsbruck (AUT) 2018,WCH Innsbruck,2018-09-16,boulder,15,Yoshiyuki Ogata
IFSC Climbing World Championships - Innsbruck (AUT) 2018,WCH Innsbruck,2018-09-16,lead,31,Yoshiyuki Ogata
IFSC Climbing World Championships - Innsbruck (AUT) 2018,WCH Innsbruck,2018-09-16,speed,110,Yoshiyuki Ogata
IFSC Climbing Worldcup (B) - Munich (GER) 2018,MunichWC,2018-08-18,boulder,4,Yoshiyuki Ogata
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018",ChamonixWC,2018-07-13,lead,28,Yoshiyuki Ogata
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018",ChamonixWC,2018-07-13,speed,36,Yoshiyuki Ogata
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2018",VillarsWC,2018-07-07,speed,30,Yoshiyuki Ogata
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2018",VillarsWC,2018-07-07,lead,19,Yoshiyuki Ogata
IFSC Climbing Worldcup (B) - Vail (USA) 2018,VailWC,2018-06-09,boulder,13,Yoshiyuki Ogata
IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018,TokyoWC,2018-06-03,boulder,23,Yoshiyuki Ogata
"IFSC Climbing Worldcup (B,S) - Tai'an (CHN) 2018",TaianWC,2018-05-13,speed,41,Yoshiyuki Ogata
"IFSC Climbing Worldcup (B,S) - Tai'an (CHN) 2018",TaianWC,2018-05-13,boulder,18,Yoshiyuki Ogata
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",ChongqingWC,2018-05-06,speed,34,Yoshiyuki Ogata
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",ChongqingWC,2018-05-06,boulder,10,Yoshiyuki Ogata
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",MoscowWC,2018-04-22,speed,43,Yoshiyuki Ogata
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",MoscowWC,2018-04-22,boulder,25,Yoshiyuki Ogata
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2018,MeiringenWC,2018-04-14,boulder,10,Yoshiyuki Ogata
China Open - Guangzhou (CHN) 2017,China_Open_17,2017-11-19,lead,3,Yoshiyuki Ogata
China Open - Guangzhou (CHN) 2017,China_Open_17,2017-11-19,boulder,3,Yoshiyuki Ogata
China Open - Guangzhou (CHN) 2017,China_Open_17,2017-11-19,speed,17,Yoshiyuki Ogata
China Open Qualification - Guangzhou (CHN) 2017,China_Open_17,2017-11-17,speed,8,Yoshiyuki Ogata
China Open Qualification - Guangzhou (CHN) 2017,China_Open_17,2017-11-17,lead,1,Yoshiyuki Ogata
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,KranjWC,2017-11-12,lead,16,Yoshiyuki Ogata
Asia Cup - Wanxianshan (CHN) 2017,Asia_Cup_17,2017-10-29,lead,1,Yoshiyuki Ogata
Asia Cup - Wanxianshan (CHN) 2017,Asia_Cup_17,2017-10-29,speed,12,Yoshiyuki Ogata
Asia Cup - Wanxianshan (CHN) 2017,Asia_Cup_17,2017-10-29,boulder,7,Yoshiyuki Ogata
"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2017",XiamenWC,2017-10-15,lead,15,Yoshiyuki Ogata
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",Wujiang,2017-10-08,speed,35,Yoshiyuki Ogata
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",Wujiang,2017-10-08,lead,7,Yoshiyuki Ogata
Asian Continental Championships - Tehran (IRI) 2017,ACH Tehran,2017-09-21,speed,23,Yoshiyuki Ogata
Asian Continental Championships - Tehran (IRI) 2017,ACH Tehran,2017-09-21,lead,3,Yoshiyuki Ogata
Asian Continental Championships - Tehran (IRI) 2017,ACH Tehran,2017-09-21,boulder,2,Yoshiyuki Ogata
IFSC Youth World Championships - Innsbruck (AUT) - 2017,WYCH Innsbruck,2017-09-10,lead,1,Yoshiyuki Ogata
IFSC Youth World Championships - Innsbruck (AUT) - 2017,WYCH Innsbruck,2017-09-10,speed,36,Yoshiyuki Ogata
IFSC Youth World Championships - Innsbruck (AUT) - 2017,WYCH Innsbruck,2017-09-10,boulder,1,Yoshiyuki Ogata
IFSC Youth World Championships Combined - Innsbruck (AUT) - 2017,YWCH Combined,2017-09-09,combined,2,Yoshiyuki Ogata
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2017",ArcoWC,2017-08-26,lead,4,Yoshiyuki Ogata
IFSC Climbing Worldcup (B) - Munich (GER) 2017,MunichWC,2017-08-19,boulder,5,Yoshiyuki Ogata
The World Games 2017 - Wroclaw (POL) 2017,WG_2017,2017-07-23,boulder,1,Yoshiyuki Ogata
Asian Youth Championships - Singapore (SGP) 2017,Asian_Youth_Chp_17,2017-07-09,lead,3,Yoshiyuki Ogata
Asian Youth Championships - Singapore (SGP) 2017,Asian_Youth_Chp_17,2017-07-09,boulder,2,Yoshiyuki Ogata
Asian Youth Championships - Singapore (SGP) 2017,Asian_Youth_Chp_17,2017-07-09,speed,16,Yoshiyuki Ogata
IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2017,MumbaiWC,2017-06-25,boulder,7,Yoshiyuki Ogata
IFSC Climbing Worldcup (B) - Vail (USA) 2017,VailWC,2017-06-10,boulder,3,Yoshiyuki Ogata
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",TokyoWC,2017-05-07,boulder,17,Yoshiyuki Ogata
"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",NanjingWC,2017-04-30,boulder,27,Yoshiyuki Ogata
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",ChongqingWC,2017-04-23,boulder,17,Yoshiyuki Ogata
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017,MeiringenWC,2017-04-08,boulder,9,Yoshiyuki Ogata
IFSC World Youth Championships - Guangzhou (CHN) - 2016,WYCH Guangzhou,2016-11-13,boulder,19,Yoshiyuki Ogata
IFSC Climbing World Championships - Paris (FRA) 2016,WCH Paris,2016-09-18,boulder,25,Yoshiyuki Ogata
IFSC Climbing Worldcup (B) - Munich (GER) 2016,MunichWC,2016-08-13,boulder,29,Yoshiyuki Ogata
Asian Continental Championship - Duyun (CHN) 2016,ACH Duyun,2016-08-06,boulder,1,Yoshiyuki Ogata
IFSC Climbing Worldcup (B) - Vail (USA) 2016,VailWC,2016-06-11,boulder,4,Yoshiyuki Ogata
IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2016,TyrolWC,2016-05-21,boulder,49,Yoshiyuki Ogata
IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016,NaviMumbaiWC,2016-05-15,boulder,9,Yoshiyuki Ogata
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",ChongqingWC,2016-05-01,speed,31,Yoshiyuki Ogata
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",ChongqingWC,2016-05-01,boulder,23,Yoshiyuki Ogata
IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,KazoWC,2016-04-24,boulder,11,Yoshiyuki Ogata
Asian Youth Championship - Putrajaya (MAS) 2015,Asian_Youth_Chp_15,2015-12-06,boulder,1,Yoshiyuki Ogata
Asian Youth Championship - Putrajaya (MAS) 2015,Asian_Youth_Chp_15,2015-12-06,lead,6,Yoshiyuki Ogata
IFSC World Youth Championships - Arco (ITA) - 2015,WYCH Arco,2015-09-06,boulder,1,Yoshiyuki Ogata
IFSC World Youth Championships - Arco (ITA) - 2015,WYCH Arco,2015-09-06,lead,7,Yoshiyuki Ogata
IFSC Climbing Worldcup (B) - Vail (USA) 2015,Vail,2015-06-06,boulder,49,Yoshiyuki Ogata
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,Toronto15,2015-05-31,boulder,14,Yoshiyuki Ogata
"IFSC World Youth Championship - Noumea, New Caledonia (FRA) - 2014",WYCH Noumea,2014-09-23,lead,13,Yoshiyuki Ogata
IFSC Climbing Worldcup (B) - Laval (FRA) 2014,Laval,2014-06-28,boulder,37,Yoshiyuki Ogata
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014",Chongqing,2014-04-27,boulder,25,Yoshiyuki Ogata
Olympic Qualifier Series Shanghai 2024,Shanghai,2024-05-19,boulder&lead,42,Mickael Mawem
IFSC World Cup Keqiao 2024,Keqiao,2024-04-10,boulder,15,Mickael Mawem
IFSC European Qualifier Laval 2023,Laval,2023-10-29,boulder&lead,10,Mickael Mawem
IFSC World Championships Bern 2023,Bern,2023-08-12,boulder,1,Mickael Mawem
IFSC World Championships Bern 2023,Bern,2023-08-12,lead,51,Mickael Mawem
IFSC World Championships Bern 2023,Bern,2023-08-12,boulder&lead,14,Mickael Mawem
IFSC World Cup Briançon 2023,Briançon,2023-07-15,lead,44,Mickael Mawem
IFSC World Cup Chamonix 2023,Chamonix,2023-07-09,lead,53,Mickael Mawem
IFSC World Cup Villars 2023,Villars-sur-Ollon,2023-07-02,lead,61,Mickael Mawem
IFSC World Cup Prague 2023,Prague,2023-06-04,boulder,9,Mickael Mawem
IFSC World Cup Salt Lake City 2023,Salt Lake City,2023-05-22,boulder,9,Mickael Mawem
IFSC World Cup Seoul 2023,Seoul,2023-04-30,boulder,25,Mickael Mawem
IFSC World Cup Hachioji 2023,Hachioji,2023-04-23,boulder,15,Mickael Mawem
IFSC European Cup Chambéry 2023,Chambéry,2023-04-08,boulder,1,Mickael Mawem
International Climbing Series - The internationals of Mayenne (B&L) - Laval (FRA) 2022,Laval,2022-10-23,boulder&lead,3,Mickael Mawem
"IFSC Europe - Continental Championships (B,S,L) - Munich (GER) 2022",Munich,2022-08-18,lead,32,Mickael Mawem
"IFSC Europe - Continental Championships (B,S,L) - Munich (GER) 2022",Munich,2022-08-18,boulder,17,Mickael Mawem
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2022",Innsbruck,2022-06-26,boulder,23,Mickael Mawem
IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,Brixen,2022-06-12,boulder,12,Mickael Mawem
IFSC Europe - Continental Cup (B) - Prague (CZE) 2022,Prague,2022-05-01,boulder,6,Mickael Mawem
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2022,Meiringen,2022-04-10,boulder,12,Mickael Mawem
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",Moscow,2021-09-21,boulder,11,Mickael Mawem
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",Moscow,2021-09-21,lead,38,Mickael Mawem
Olympic Games (C) - Tokyo (JPN) 2020,Tokyo,2021-08-06,combined,5,Mickael Mawem
IFSC Europe - Continental Cup (S) - Gaflenz (AUT) 2021,Gaflenz,2021-06-27,speed,23,Mickael Mawem
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",Innsbruck,2021-06-26,boulder,18,Mickael Mawem
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",Salt Lake City,2021-05-31,speed,11,Mickael Mawem
