Event,City,date,Discipline,Rank,Athlete
Asian Championships - Kurayoshi (JPN) 2018,ACH Kurayoshi,2018-11-11,speed,18,Meichi Narasaki
Asian Championships Combined - Kurayoshi (JPN) 2018,ACH Kurayoshi comb,2018-11-11,combined,1,Meichi Narasaki
Asian Championships - Kurayoshi (JPN) 2018,ACH Kurayoshi,2018-11-11,lead,6,Meichi Narasaki
Asian Championships - Kurayoshi (JPN) 2018,ACH Kurayoshi,2018-11-11,combined,1,Meichi Narasaki
IFSC Climbing World Championships - Innsbruck (AUT) 2018,WCH Innsbruck,2018-09-16,speed,42,Meichi Narasaki
IFSC Climbing World Championships - Innsbruck (AUT) 2018,WCH Innsbruck,2018-09-16,boulder,37,Meichi Narasaki
IFSC Climbing World Championships - Innsbruck (AUT) 2018,WCH Innsbruck,2018-09-16,combined,8,Meichi Narasaki
IFSC Climbing World Championships - Innsbruck (AUT) 2018,WCH Innsbruck,2018-09-16,lead,4,Meichi Narasaki
IFSC Youth World Championships -  Moscow (RUS) 2018,WYCH Central Saanich,2018-08-16,lead,1,Meichi Narasaki
IFSC Youth World Championships -  Moscow (RUS) 2018,WYCH Central Saanich,2018-08-16,boulder,1,Meichi Narasaki
IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018,TokyoWC,2018-06-03,boulder,10,Meichi Narasaki
"International Climbing Series - Outdoor Village Speed Stars - Akishima, Tokyo (JPN) 2018",Speed Stars 2018,2018-04-29,speed,7,Meichi Narasaki
China Open - Guangzhou (CHN) 2017,China_Open_17,2017-11-19,speed,8,Meichi Narasaki
China Open - Guangzhou (CHN) 2017,China_Open_17,2017-11-19,lead,9,Meichi Narasaki
China Open - Guangzhou (CHN) 2017,China_Open_17,2017-11-19,boulder,5,Meichi Narasaki
China Open Qualification - Guangzhou (CHN) 2017,China_Open_17,2017-11-17,lead,1,Meichi Narasaki
China Open Qualification - Guangzhou (CHN) 2017,China_Open_17,2017-11-17,speed,6,Meichi Narasaki
China Open Qualification - Guangzhou (CHN) 2017,China_Open_17,2017-11-17,boulder,1,Meichi Narasaki
IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,KranjWC,2017-11-12,lead,23,Meichi Narasaki
IFSC Youth World Championships - Innsbruck (AUT) - 2017,WYCH Innsbruck,2017-09-10,lead,2,Meichi Narasaki
IFSC Youth World Championships - Innsbruck (AUT) - 2017,WYCH Innsbruck,2017-09-10,speed,17,Meichi Narasaki
IFSC Youth World Championships - Innsbruck (AUT) - 2017,WYCH Innsbruck,2017-09-10,boulder,2,Meichi Narasaki
IFSC Youth World Championships Combined - Innsbruck (AUT) - 2017,YWCH Combined,2017-09-09,combined,1,Meichi Narasaki
IFSC Climbing Worldcup (B) - Munich (GER) 2017,MunichWC,2017-08-19,boulder,21,Meichi Narasaki
Asian Youth Championships - Singapore (SGP) 2017,Asian_Youth_Chp_17,2017-07-09,lead,1,Meichi Narasaki
Asian Youth Championships - Singapore (SGP) 2017,Asian_Youth_Chp_17,2017-07-09,boulder,1,Meichi Narasaki
Asian Youth Championships - Singapore (SGP) 2017,Asian_Youth_Chp_17,2017-07-09,speed,6,Meichi Narasaki
IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2017,MumbaiWC,2017-06-25,boulder,12,Meichi Narasaki
IFSC Climbing Worldcup (B) - Vail (USA) 2017,VailWC,2017-06-10,boulder,2,Meichi Narasaki
"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",TokyoWC,2017-05-07,boulder,25,Meichi Narasaki
"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",NanjingWC,2017-04-30,boulder,11,Meichi Narasaki
